SN    USVID    CurTime    simTime    CurX    CurY    CurVel      CurYaw   
0  144  2025-06-08 18-13-43  0  2440  14512  192  2672
1  144  2025-06-08 18-13-43  1.6  2448.01  14511.9  192.086  2688
2  144  2025-06-08 18-13-43  3.2  2456.02  14511.6  192.173  2704
3  144  2025-06-08 18-13-43  4.8  2464.03  14511.2  192.259  2720
4  144  2025-06-08 18-13-43  6.4  2472.05  14510.6  192.345  2736
5  144  2025-06-08 18-13-43  8  2480.06  14509.9  192.432  2752
6  144  2025-06-08 18-13-43  9.6  2488.07  14509.1  192.518  2768
7  144  2025-06-08 18-13-43  11.2  2496.07  14508.1  192.604  2784
8  144  2025-06-08 18-13-43  12.8  2504.06  14507  192.691  2800
9  144  2025-06-08 18-13-43  14.4  2512.04  14505.7  192.777  2816
10  144  2025-06-08 18-13-43  128  2520  14504.3  192.863  14032
11  144  2025-06-08 18-13-43  129.6  2527.95  14502.7  192.95  14048
12  144  2025-06-08 18-13-43  131.2  2535.88  14501.1  193.036  14064
13  144  2025-06-08 18-13-43  132.8  2543.78  14499.2  193.122  14080
14  144  2025-06-08 18-13-43  134.4  2551.66  14497.3  193.209  14096
15  144  2025-06-08 18-13-43  136  2559.51  14495.2  193.295  14112
16  144  2025-06-08 18-13-43  137.6  2567.33  14492.9  193.381  14128
17  144  2025-06-08 18-13-43  139.2  2575.13  14490.5  193.468  14143.4
18  144  2025-06-08 18-13-43  140.8  2582.89  14488  193.554  14157.2
19  144  2025-06-08 18-13-43  142.4  2590.63  14485.4  193.64  14169.6
20  144  2025-06-08 18-13-43  144  2598.34  14482.7  193.727  14180.7
21  144  2025-06-08 18-13-43  145.6  2606.03  14480  193.813  14190.7
22  144  2025-06-08 18-13-43  147.2  2613.71  14477.1  193.899  14199.6
23  144  2025-06-08 18-13-43  148.8  2621.36  14474.2  193.986  14207.6
24  144  2025-06-08 18-13-43  150.4  2629  14471.2  194.072  14214.8
25  144  2025-06-08 18-13-43  152  2636.63  14468.1  194.158  14221.3
26  144  2025-06-08 18-13-43  153.6  2644.24  14465  194.245  14227.1
27  144  2025-06-08 18-13-43  155.2  2651.85  14461.8  194.331  14232.2
28  144  2025-06-08 18-13-43  156.8  2659.45  14458.6  194.417  14236.8
29  144  2025-06-08 18-13-43  158.4  2667.04  14455.4  194.504  14240.9
30  144  2025-06-08 18-13-43  160  2674.62  14452.2  194.59  14244.6
31  144  2025-06-08 18-13-43  161.6  2682.21  14448.9  194.676  14247.9
32  144  2025-06-08 18-13-43  163.2  2689.79  14445.5  194.763  14250.8
33  144  2025-06-08 18-13-43  164.8  2697.36  14442.2  194.849  14253.4
34  144  2025-06-08 18-13-43  166.4  2704.94  14438.8  194.935  14255.7
35  144  2025-06-08 18-13-43  168  2712.52  14435.4  195.022  14257.7
36  144  2025-06-08 18-13-43  169.6  2720.1  14432  195.108  14259.4
37  144  2025-06-08 18-13-43  171.2  2727.68  14428.6  195.194  14261
38  144  2025-06-08 18-13-43  172.8  2735.27  14425.2  195.281  14262.3
39  144  2025-06-08 18-13-43  174.4  2742.86  14421.7  195.367  14263.4
40  144  2025-06-08 18-13-43  176  2750.45  14418.2  195.453  14264.4
41  144  2025-06-08 18-13-43  177.6  2758.04  14414.8  195.54  14265.2
42  144  2025-06-08 18-13-43  179.2  2765.65  14411.3  195.626  14265.9
43  144  2025-06-08 18-13-43  180.8  2773.26  14407.8  195.712  14266.5
44  144  2025-06-08 18-13-43  182.4  2780.87  14404.3  195.799  14266.9
45  144  2025-06-08 18-13-43  184  2788.49  14400.8  195.885  14267.2
46  144  2025-06-08 18-13-43  185.6  2796.12  14397.3  195.971  14267.5
47  144  2025-06-08 18-13-43  187.2  2803.75  14393.8  196.058  14267.6
48  144  2025-06-08 18-13-43  188.8  2811.4  14390.2  196.144  14267.7
49  144  2025-06-08 18-13-43  190.4  2819.05  14386.7  196.23  14267.7
50  144  2025-06-08 18-13-43  192  2826.7  14383.2  196.317  14267.7
51  144  2025-06-08 18-13-43  193.6  14034.4  14379.6  196.403  14267.6
52  144  2025-06-08 18-13-43  195.2  14042  14376.1  196.489  14267.4
