SN    USVID    CurTime    simTime    CurX    CurY    CurVel      CurYaw   
0  176  2025-06-08 15-06-14  0  16040  14512  192  2672
1  176  2025-06-08 15-06-14  1.6  16048  14511.9  192.086  2683.23
2  176  2025-06-08 15-06-14  3.2  16056  14511.7  192.173  2694.11
3  176  2025-06-08 15-06-14  4.8  16064  14511.4  192.259  2704.66
4  176  2025-06-08 15-06-14  6.4  16072.1  14511  192.345  2714.87
5  176  2025-06-08 15-06-14  8  16080.1  14510.6  192.432  2724.77
6  176  2025-06-08 15-06-14  9.6  16088.1  14510  192.518  2734.35
7  176  2025-06-08 15-06-14  11.2  16096.2  14509.4  192.604  2743.63
8  176  2025-06-08 15-06-14  12.8  16104.2  14508.7  192.691  2752.61
9  176  2025-06-08 15-06-14  14.4  16112.2  14507.9  192.777  2761.3
10  176  2025-06-08 15-06-14  128  16120.3  14507.1  192.863  2769.72
11  176  2025-06-08 15-06-14  129.6  16128.3  14506.1  192.95  2777.86
12  176  2025-06-08 15-06-14  131.2  16136.4  14505.1  193.036  2785.74
13  176  2025-06-08 15-06-14  132.8  16144.4  14504  193.122  2793.36
14  176  2025-06-08 15-06-14  134.4  16152.5  14502.9  193.209  2800.72
15  176  2025-06-08 15-06-14  136  16160.5  14501.7  193.295  2807.85
16  176  2025-06-08 15-06-14  137.6  16168.5  14500.4  193.381  2814.73
17  176  2025-06-08 15-06-14  139.2  16176.6  14499.1  193.468  2821.39
18  176  2025-06-08 15-06-14  140.8  16184.6  14497.7  193.554  2827.82
19  176  2025-06-08 15-06-14  142.4  16192.6  14496.3  193.64  14034
20  176  2025-06-08 15-06-14  144  16200.7  14494.8  193.727  14040
21  176  2025-06-08 15-06-14  145.6  16208.7  14493.3  193.813  14045.8
22  176  2025-06-08 15-06-14  147.2  16216.7  14491.7  193.899  14051.4
23  176  2025-06-08 15-06-14  148.8  16224.8  14490  193.986  14056.8
24  176  2025-06-08 15-06-14  150.4  16232.8  14488.4  194.072  14062
25  176  2025-06-08 15-06-14  152  16240.8  14486.6  194.158  14067
26  176  2025-06-08 15-06-14  153.6  16248.9  14484.8  194.245  14071.9
27  176  2025-06-08 15-06-14  155.2  16256.9  14483  194.331  14076.5
28  176  2025-06-08 15-06-14  156.8  16264.9  14481.2  194.417  14081
29  176  2025-06-08 15-06-14  158.4  16273  14479.3  194.504  14085.4
30  176  2025-06-08 15-06-14  160  16281  14477.3  194.59  14089.5
31  176  2025-06-08 15-06-14  161.6  16289  14475.3  194.676  14093.5
32  176  2025-06-08 15-06-14  163.2  16297  14473.3  194.763  14097.4
33  176  2025-06-08 15-06-14  164.8  16305.1  14471.3  194.849  14101.1
34  176  2025-06-08 15-06-14  166.4  16313.1  14469.2  194.935  14104.7
35  176  2025-06-08 15-06-14  168  16321.1  14467.1  195.022  14108.1
36  176  2025-06-08 15-06-14  169.6  16329.2  14464.9  195.108  14111.4
37  176  2025-06-08 15-06-14  171.2  16337.2  14462.8  195.194  14114.6
38  176  2025-06-08 15-06-14  172.8  16345.2  14460.5  195.281  14117.6
39  176  2025-06-08 15-06-14  174.4  16353.2  14458.3  195.367  14120.6
40  176  2025-06-08 15-06-14  176  16361.3  14456.1  195.453  14123.4
41  176  2025-06-08 15-06-14  177.6  16369.3  14453.8  195.54  14126
42  176  2025-06-08 15-06-14  179.2  16377.4  14451.5  195.626  14128.6
43  176  2025-06-08 15-06-14  180.8  16385.4  14449.1  195.712  14131.1
44  176  2025-06-08 15-06-14  182.4  16393.4  14446.8  195.799  14133.4
45  176  2025-06-08 15-06-14  184  16401.5  14444.4  195.885  14135.7
46  176  2025-06-08 15-06-14  185.6  16409.5  14442  195.971  14137.8
47  176  2025-06-08 15-06-14  187.2  16417.6  14439.6  196.058  14139.9
48  176  2025-06-08 15-06-14  188.8  16425.6  14437.1  196.144  14141.8
49  176  2025-06-08 15-06-14  190.4  16433.7  14434.7  196.23  14143.7
50  176  2025-06-08 15-06-14  192  16441.7  14432.2  196.317  14145.5
51  176  2025-06-08 15-06-14  193.6  16449.8  14429.7  196.403  14147.1
52  176  2025-06-08 15-06-14  195.2  16457.9  14427.2  196.489  14148.7
53  176  2025-06-08 15-06-14  196.8  16465.9  14424.7  196.576  14150.3
54  176  2025-06-08 15-06-14  198.4  16474  14422.1  196.662  14151.7
55  176  2025-06-08 15-06-14  200  16482.1  14419.6  196.748  14153.1
56  176  2025-06-08 15-06-14  201.6  16490.2  14417  196.835  14154.4
57  176  2025-06-08 15-06-14  203.2  16498.3  14414.4  196.921  14155.6
58  176  2025-06-08 15-06-14  204.8  16506.4  14411.8  197.007  14156.8
59  176  2025-06-08 15-06-14  206.4  16514.5  14409.2  197.094  14157.8
60  176  2025-06-08 15-06-14  208  16522.6  14406.6  197.18  14158.9
61  176  2025-06-08 15-06-14  209.6  16530.7  14403.9  197.266  14159.8
62  176  2025-06-08 15-06-14  211.2  16538.8  14401.3  197.353  14160.7
63  176  2025-06-08 15-06-14  212.8  16546.9  14398.6  197.439  14161.6
64  176  2025-06-08 15-06-14  214.4  16555  14396  197.525  14162.3
65  176  2025-06-08 15-06-14  216  16563.2  14393.3  197.612  14163.1
66  176  2025-06-08 15-06-14  217.6  16571.3  14390.6  197.698  14163.7
67  176  2025-06-08 15-06-14  219.2  16579.5  14387.9  197.784  14164.4
68  176  2025-06-08 15-06-14  220.8  16587.6  14385.2  197.871  14164.9
69  176  2025-06-08 15-06-14  222.4  16595.8  14382.5  197.957  14165.5
70  176  2025-06-08 15-06-14  224  16603.9  14379.8  198.043  14165.9
71  176  2025-06-08 15-06-14  225.6  16612.1  14377.1  198.13  14166.4
72  176  2025-06-08 15-06-14  227.2  16620.3  14374.4  198.216  14166.7
73  176  2025-06-08 15-06-14  228.8  16628.5  14371.6  198.302  14167.1
74  176  2025-06-08 15-06-14  230.4  16636.7  14368.9  198.389  14167.4
75  176  2025-06-08 15-06-14  232  16644.9  14366.2  198.475  14167.7
76  176  2025-06-08 15-06-14  233.6  16653.1  14363.4  198.561  14167.9
77  176  2025-06-08 15-06-14  235.2  16661.3  14360.7  198.648  14168.1
78  176  2025-06-08 15-06-14  236.8  16669.5  14357.9  198.734  14168.2
79  176  2025-06-08 15-06-14  238.4  16677.8  14355.2  198.82  14168.3
80  176  2025-06-08 15-06-14  240  16686  14352.4  198.907  14168.4
81  176  2025-06-08 15-06-14  241.6  16694.2  14349.6  198.993  14168.5
82  176  2025-06-08 15-06-14  243.2  16702.5  14346.9  199.079  14168.5
83  176  2025-06-08 15-06-14  244.8  16710.8  14344.1  199.166  14168.5
84  176  2025-06-08 15-06-14  246.4  16719  14341.3  199.252  14168.4
85  176  2025-06-08 15-06-14  248  16727.3  14338.5  199.338  14168.4
86  176  2025-06-08 15-06-14  249.6  16735.6  14335.8  199.425  14168.3
87  176  2025-06-08 15-06-14  251.2  16743.9  14333  199.511  14168.2
88  176  2025-06-08 15-06-14  252.8  16752.2  14330.2  199.597  14168
89  176  2025-06-08 15-06-14  254.4  16760.5  14327.4  199.684  14167.9
90  176  2025-06-08 15-06-14  256  16768.9  14324.6  199.77  14167.7
91  176  2025-06-08 15-06-14  257.6  16777.2  14321.9  199.856  14167.5
92  176  2025-06-08 15-06-14  259.2  16785.5  14319.1  199.943  14167.2
93  176  2025-06-08 15-06-14  260.8  16793.9  14316.3  200.029  14167
94  176  2025-06-08 15-06-14  262.4  16802.2  14313.5  200.115  14166.7
95  176  2025-06-08 15-06-14  264  16810.6  14310.7  200.202  14166.4
96  176  2025-06-08 15-06-14  265.6  16819  14307.9  200.288  14166.1
97  176  2025-06-08 15-06-14  267.2  16827.4  14305.2  200.374  14165.8
98  176  2025-06-08 15-06-14  268.8  16835.8  14302.4  200.461  14165.4
99  176  2025-06-08 15-06-14  270.4  16844.2  14299.6  200.547  14165.1
100  176  2025-06-08 15-06-14  1392  16852.6  14296.8  200.633  14164.7
101  176  2025-06-08 15-06-14  1393.6  16861  14294  200.72  14164.3
102  176  2025-06-08 15-06-14  1395.2  16869.5  14291.2  200.806  14163.9
103  176  2025-06-08 15-06-14  1396.8  16877.9  14288.5  200.892  14163.5
104  176  2025-06-08 15-06-14  1398.4  16886.3  14285.7  200.979  14163.1
105  176  2025-06-08 15-06-14  1400  16894.8  14282.9  201.065  14162.6
106  176  2025-06-08 15-06-14  1401.6  16903.3  14280.1  201.151  14162.2
107  176  2025-06-08 15-06-14  1403.2  16911.8  14277.4  201.238  14161.7
108  176  2025-06-08 15-06-14  1404.8  16920.3  14274.6  201.324  14161.2
109  176  2025-06-08 15-06-14  1406.4  16928.8  14271.8  201.41  14160.8
110  176  2025-06-08 15-06-14  1408  16937.3  14269.1  201.497  14160.3
111  176  2025-06-08 15-06-14  1409.6  16945.8  14266.3  201.583  14159.8
112  176  2025-06-08 15-06-14  1411.2  16954.3  14263.5  201.669  14159.3
113  176  2025-06-08 15-06-14  1412.8  16962.9  14260.8  201.756  14158.7
114  176  2025-06-08 15-06-14  1414.4  16971.4  14258  201.842  14158.2
115  176  2025-06-08 15-06-14  1416  16980  14255.2  201.928  14157.7
