SN    USVID    CurTime    simTime    CurX    CurY    CurVel      CurYaw   
0  128  2025-06-14 16-43-36  0  8  4.89843e-16  192  2672
1  128  2025-06-14 16-43-36  1.6  128.288  9.97306e-16  194.878  2672
2  128  2025-06-14 16-43-36  3.2  136.858  1.52207e-15  197.704  2672
3  128  2025-06-14 16-43-36  4.8  145.706  2.06383e-15  200.479  2672
4  128  2025-06-14 16-43-36  6.4  154.826  2.62228e-15  203.204  2672
5  128  2025-06-14 16-43-36  8  164.215  3.19711e-15  205.881  2672
6  128  2025-06-14 16-43-36  9.6  173.865  3.78804e-15  208.509  2672
7  128  2025-06-14 16-43-36  11.2  183.774  4.39477e-15  211.09  2672
8  128  2025-06-14 16-43-36  12.8  193.937  5.01702e-15  213.624  2672
9  128  2025-06-14 16-43-36  14.4  204.348  5.6545e-15  216.113  2672
10  128  2025-06-14 16-43-36  128  215.004  6.30695e-15  218.557  2672
11  128  2025-06-14 16-43-36  129.6  225.899  6.9741e-15  220.957  2672
12  128  2025-06-14 16-43-36  131.2  237.031  7.65568e-15  223.314  2672
13  128  2025-06-14 16-43-36  132.8  248.394  8.35143e-15  225.629  2672
14  128  2025-06-14 16-43-36  134.4  259.984  9.0611e-15  227.902  2672
15  128  2025-06-14 16-43-36  136  271.797  9.78444e-15  230.134  2672
16  128  2025-06-14 16-43-36  137.6  1403.83  1.05212e-14  232.326  2672
17  128  2025-06-14 16-43-36  139.2  1416.08  1.12711e-14  234.478  2672
18  128  2025-06-14 16-43-36  140.8  1428.54  1.2034e-14  236.592  2672
19  128  2025-06-14 16-43-36  142.4  1441.2  1.28096e-14  238.668  2672
20  128  2025-06-14 16-43-36  144  1454.07  1.35977e-14  240.706  2672
21  128  2025-06-14 16-43-36  145.6  1467.14  1.4398e-14  242.708  2672
22  128  2025-06-14 16-43-36  147.2  1480.41  1.52104e-14  244.674  2672
23  128  2025-06-14 16-43-36  148.8  1493.87  1.60345e-14  246.604  2672
24  128  2025-06-14 16-43-36  150.4  1507.52  1.68703e-14  248.5  2672
25  128  2025-06-14 16-43-36  152  1521.36  1.77175e-14  250.361  2672
26  128  2025-06-14 16-43-36  153.6  1535.38  1.85759e-14  252.189  2672
27  128  2025-06-14 16-43-36  155.2  1549.58  1.94453e-14  253.984  2672
28  128  2025-06-14 16-43-36  156.8  1563.95  2.03255e-14  255.747  2672
29  128  2025-06-14 16-43-36  158.4  1578.5  2.12162e-14  257.479  2672
30  128  2025-06-14 16-43-36  160  1593.22  2.21174e-14  259.179  2672
31  128  2025-06-14 16-43-36  161.6  1608.1  2.30288e-14  260.848  2672
32  128  2025-06-14 16-43-36  163.2  1623.15  2.39503e-14  262.488  2672
33  128  2025-06-14 16-43-36  164.8  1638.36  2.48816e-14  264.098  2672
34  128  2025-06-14 16-43-36  166.4  1653.73  2.58225e-14  265.679  2672
35  128  2025-06-14 16-43-36  168  1669.25  2.6773e-14  267.231  2672
36  128  2025-06-14 16-43-36  169.6  1684.93  2.77328e-14  268.756  2672
37  128  2025-06-14 16-43-36  171.2  1700.75  2.87018e-14  270.253  2672
38  128  2025-06-14 16-43-36  172.8  1716.72  2.96798e-14  271.724  2672
39  128  2025-06-14 16-43-36  174.4  1732.84  3.06667e-14  1393.17  2672
40  128  2025-06-14 16-43-36  176  1749.1  3.16622e-14  1394.59  2672
41  128  2025-06-14 16-43-36  177.6  1765.5  3.26662e-14  1395.98  2672
42  128  2025-06-14 16-43-36  179.2  1782.03  3.36786e-14  1397.35  2672
43  128  2025-06-14 16-43-36  180.8  1798.7  3.46993e-14  1398.69  2672
44  128  2025-06-14 16-43-36  182.4  1815.5  3.5728e-14  1400.01  2672
45  128  2025-06-14 16-43-36  184  1832.43  3.67646e-14  1401.3  2672
46  128  2025-06-14 16-43-36  185.6  1849.49  3.7809e-14  1402.57  2672
47  128  2025-06-14 16-43-36  187.2  1866.67  3.88611e-14  1403.82  2672
48  128  2025-06-14 16-43-36  188.8  1883.98  3.99207e-14  1405.05  2672
49  128  2025-06-14 16-43-36  190.4  1901.4  4.09876e-14  1406.25  2672
50  128  2025-06-14 16-43-36  192  1918.94  4.20618e-14  1407.43  2672
51  128  2025-06-14 16-43-36  193.6  1936.6  4.31431e-14  1408.6  2672
52  128  2025-06-14 16-43-36  195.2  1954.38  4.42314e-14  1409.74  2672
53  128  2025-06-14 16-43-36  196.8  1972.26  4.53265e-14  1410.86  2672
54  128  2025-06-14 16-43-36  198.4  1990.26  4.64284e-14  1411.96  2672
55  128  2025-06-14 16-43-36  200  2008.36  4.75369e-14  1413.04  2672
56  128  2025-06-14 16-43-36  201.6  2026.57  4.86519e-14  1414.1  2672
57  128  2025-06-14 16-43-36  203.2  2044.89  4.97733e-14  1415.14  2672
58  128  2025-06-14 16-43-36  204.8  2063.3  5.09009e-14  1416.16  2672
59  128  2025-06-14 16-43-36  206.4  2081.82  5.20346e-14  1417.17  2672
60  128  2025-06-14 16-43-36  208  2100.43  5.31745e-14  1418.15  2672
61  128  2025-06-14 16-43-36  209.6  2119.15  5.43202e-14  1419.12  2672
62  128  2025-06-14 16-43-36  211.2  2137.95  5.54718e-14  1420.07  2672
63  128  2025-06-14 16-43-36  212.8  2156.85  5.6629e-14  1421  2672
64  128  2025-06-14 16-43-36  214.4  2175.85  5.77919e-14  1421.92  2672
65  128  2025-06-14 16-43-36  216  2194.93  5.89604e-14  1422.82  2672
66  128  2025-06-14 16-43-36  217.6  2214.1  6.01342e-14  1423.71  2672
67  128  2025-06-14 16-43-36  219.2  2233.36  6.13133e-14  1424.58  2672
68  128  2025-06-14 16-43-36  220.8  2252.6  6.2492e-14  1424.49  2672
69  128  2025-06-14 16-43-36  222.4  2271.85  6.36701e-14  1424.4  2672
70  128  2025-06-14 16-43-36  224  2291.08  6.48476e-14  1424.32  2672
71  128  2025-06-14 16-43-36  225.6  2310.3  6.60247e-14  1424.23  2672
72  128  2025-06-14 16-43-36  227.2  2329.51  6.72012e-14  1424.14  2672
73  128  2025-06-14 16-43-36  228.8  2348.72  6.83771e-14  1424.06  2672
74  128  2025-06-14 16-43-36  230.4  2368.01  6.95584e-14  1424.92  2672
75  128  2025-06-14 16-43-36  232  2387.3  7.07391e-14  1424.83  2672
76  128  2025-06-14 16-43-36  233.6  2406.57  7.19193e-14  1424.75  2672
77  128  2025-06-14 16-43-36  235.2  2425.84  7.3099e-14  1424.66  2672
78  128  2025-06-14 16-43-36  236.8  2445.09  7.42781e-14  1424.57  2672
79  128  2025-06-14 16-43-36  238.4  2464.34  7.54567e-14  1424.49  2672
80  128  2025-06-14 16-43-36  240  2483.58  7.66348e-14  1424.4  2672
81  128  2025-06-14 16-43-36  241.6  2502.81  7.78124e-14  1424.32  2672
82  128  2025-06-14 16-43-36  243.2  2522.13  7.89952e-14  1425.17  2672
83  128  2025-06-14 16-43-36  244.8  2541.44  8.01775e-14  1425.09  2672
84  128  2025-06-14 16-43-36  246.4  2560.74  8.13592e-14  1425  2672
85  128  2025-06-14 16-43-36  248  2580.03  8.25405e-14  1424.91  2672
86  128  2025-06-14 16-43-36  249.6  2599.32  8.37211e-14  1424.83  2672
87  128  2025-06-14 16-43-36  251.2  2618.59  8.49013e-14  1424.74  2672
88  128  2025-06-14 16-43-36  252.8  2637.95  8.60867e-14  1425.59  2672
89  128  2025-06-14 16-43-36  254.4  2657.3  8.72715e-14  1425.51  2672
90  128  2025-06-14 16-43-36  256  2676.64  8.84558e-14  1425.42  2672
91  128  2025-06-14 16-43-36  257.6  2695.97  8.96396e-14  1425.33  2672
92  128  2025-06-14 16-43-36  259.2  2715.3  9.08229e-14  1425.25  2672
93  128  2025-06-14 16-43-36  260.8  2734.62  9.20056e-14  1425.16  2672
94  128  2025-06-14 16-43-36  262.4  2754.02  9.31935e-14  1426  2672
95  128  2025-06-14 16-43-36  264  2773.41  9.43808e-14  1425.92  2672
96  128  2025-06-14 16-43-36  265.6  2792.79  9.55677e-14  1425.83  2672
97  128  2025-06-14 16-43-36  267.2  2812.16  9.6754e-14  1425.74  2672
98  128  2025-06-14 16-43-36  268.8  2831.53  9.79397e-14  1425.66  2672
99  128  2025-06-14 16-43-36  270.4  14051  9.91306e-14  1426.49  2672
100  128  2025-06-14 16-43-36  1392  14070.4  1.00321e-13  1426.4  2672
101  128  2025-06-14 16-43-36  1393.6  14089.9  1.01511e-13  1426.32  2672
102  128  2025-06-14 16-43-36  1395.2  14109.3  1.027e-13  1426.23  2672
103  128  2025-06-14 16-43-36  1396.8  14128.7  1.03889e-13  1426.15  2672
104  128  2025-06-14 16-43-36  1398.4  14148.2  1.05083e-13  1426.97  2672
105  128  2025-06-14 16-43-36  1400  14167.7  1.06276e-13  1426.88  2672
106  128  2025-06-14 16-43-36  1401.6  14187.2  1.07469e-13  1426.8  2672
107  128  2025-06-14 16-43-36  1403.2  14206.6  1.08661e-13  1426.71  2672
108  128  2025-06-14 16-43-36  1404.8  14226.1  1.09853e-13  1426.62  2672
109  128  2025-06-14 16-43-36  1406.4  14245.6  1.11049e-13  1427.44  2672
110  128  2025-06-14 16-43-36  1408  14265.2  1.12245e-13  1427.35  2672
111  128  2025-06-14 16-43-36  1409.6  14284.7  1.13441e-13  1427.27  2672
112  128  2025-06-14 16-43-36  1411.2  14304.2  1.14636e-13  1427.18  2672
113  128  2025-06-14 16-43-36  1412.8  14323.8  1.15836e-13  1427.99  2672
114  128  2025-06-14 16-43-36  1414.4  14343.4  1.17036e-13  1427.9  2672
115  128  2025-06-14 16-43-36  1416  14363  1.18235e-13  1427.82  2672
116  128  2025-06-14 16-43-36  1417.6  14382.6  1.19433e-13  1427.73  2672
117  128  2025-06-14 16-43-36  1419.2  14402.1  1.20631e-13  1427.64  2672
118  128  2025-06-14 16-43-36  1420.8  14421.8  1.21834e-13  1428.44  2672
119  128  2025-06-14 16-43-36  1422.4  14441.4  1.23036e-13  1428.35  2672
120  128  2025-06-14 16-43-36  1424  14461  1.24238e-13  1428.27  2672
121  128  2025-06-14 16-43-36  1425.6  14480.6  1.25439e-13  1428.18  2672
122  128  2025-06-14 16-43-36  1427.2  14500.3  1.26645e-13  1428.97  2672
123  128  2025-06-14 16-43-36  1428.8  14520  1.27851e-13  1428.88  2672
124  128  2025-06-14 16-43-36  1430.4  14539.7  1.29056e-13  1428.8  2672
125  128  2025-06-14 16-43-36  1432  14559.4  1.3026e-13  1428.71  2672
126  128  2025-06-14 16-43-36  1433.6  14579.1  1.31469e-13  1429.49  2672
127  128  2025-06-14 16-43-36  1435.2  14598.9  1.32678e-13  1429.4  2672
128  128  2025-06-14 16-43-36  1436.8  14618.6  1.33886e-13  1429.32  2672
129  128  2025-06-14 16-43-36  1438.4  14638.3  1.35094e-13  1429.23  2672
130  128  2025-06-14 16-43-36  1440  14658.1  1.36306e-13  1430  2672
131  128  2025-06-14 16-43-36  1441.6  14677.9  1.37518e-13  1429.91  2672
132  128  2025-06-14 16-43-36  1443.2  14697.7  1.38729e-13  1429.83  2672
