SN    USVID    CurTime    simTime    CurX    CurY    CurVel      CurYaw   
0  128  2025-06-14 17-22-35  0  8  4.89843e-16  192  2672
1  128  2025-06-14 17-22-35  1.6  128.288  9.97306e-16  194.878  2672
2  128  2025-06-14 17-22-35  3.2  136.858  1.52207e-15  197.704  2672
3  128  2025-06-14 17-22-35  4.8  145.706  2.06383e-15  200.479  2672
4  128  2025-06-14 17-22-35  6.4  154.826  2.62228e-15  203.204  2672
5  128  2025-06-14 17-22-35  8  164.215  3.19711e-15  205.881  2672
6  128  2025-06-14 17-22-35  9.6  173.865  3.78804e-15  208.509  2672
7  128  2025-06-14 17-22-35  11.2  183.774  4.39477e-15  211.09  2672
8  128  2025-06-14 17-22-35  12.8  193.937  5.01702e-15  213.624  2672
9  128  2025-06-14 17-22-35  14.4  204.348  5.6545e-15  216.113  2672
10  128  2025-06-14 17-22-35  128  215.004  6.30695e-15  218.557  2672
11  128  2025-06-14 17-22-35  129.6  225.899  6.9741e-15  220.957  2672
12  128  2025-06-14 17-22-35  131.2  237.031  7.65568e-15  223.314  2672
13  128  2025-06-14 17-22-35  132.8  248.394  8.35143e-15  225.629  2672
14  128  2025-06-14 17-22-35  134.4  259.984  9.0611e-15  227.902  2672
15  128  2025-06-14 17-22-35  136  271.797  9.78444e-15  230.134  2672
16  128  2025-06-14 17-22-35  137.6  1403.83  1.05212e-14  232.326  2672
17  128  2025-06-14 17-22-35  139.2  1416.08  1.12711e-14  234.478  2672
18  128  2025-06-14 17-22-35  140.8  1428.54  1.2034e-14  236.592  2672
19  128  2025-06-14 17-22-35  142.4  1441.2  1.28096e-14  238.668  2672
20  128  2025-06-14 17-22-35  144  1454.07  1.35977e-14  240.706  2672
21  128  2025-06-14 17-22-35  145.6  1467.14  1.4398e-14  242.708  2672
22  128  2025-06-14 17-22-35  147.2  1480.41  1.52104e-14  244.674  2672
23  128  2025-06-14 17-22-35  148.8  1493.87  1.60345e-14  246.604  2672
24  128  2025-06-14 17-22-35  150.4  1507.52  1.68703e-14  248.5  2672
25  128  2025-06-14 17-22-35  152  1521.36  1.77175e-14  250.361  2672
26  128  2025-06-14 17-22-35  153.6  1535.38  1.85759e-14  252.189  2672
27  128  2025-06-14 17-22-35  155.2  1549.58  1.94453e-14  253.984  2672
28  128  2025-06-14 17-22-35  156.8  1563.95  2.03255e-14  255.747  2672
29  128  2025-06-14 17-22-35  158.4  1578.5  2.12162e-14  257.479  2672
30  128  2025-06-14 17-22-35  160  1593.22  2.21174e-14  259.179  2672
31  128  2025-06-14 17-22-35  161.6  1608.1  2.30288e-14  260.848  2672
32  128  2025-06-14 17-22-35  163.2  1623.15  2.39503e-14  262.488  2672
33  128  2025-06-14 17-22-35  164.8  1638.36  2.48816e-14  264.098  2672
34  128  2025-06-14 17-22-35  166.4  1653.73  2.58225e-14  265.679  2672
35  128  2025-06-14 17-22-35  168  1669.25  2.6773e-14  267.231  2672
36  128  2025-06-14 17-22-35  169.6  1684.93  2.77328e-14  268.756  2672
37  128  2025-06-14 17-22-35  171.2  1700.75  2.87018e-14  270.253  2672
38  128  2025-06-14 17-22-35  172.8  1716.72  2.96798e-14  271.724  2672
39  128  2025-06-14 17-22-35  174.4  1732.84  3.06667e-14  1393.17  2672
40  128  2025-06-14 17-22-35  176  1749.1  3.16622e-14  1394.59  2672
41  128  2025-06-14 17-22-35  177.6  1765.5  3.26662e-14  1395.98  2672
