SN    USVID    CurTime    simTime    CurX    CurY    CurVel      CurYaw   
0  192  2025-06-14 16-32-06  0  16040  -14512  192  2672
1  192  2025-06-14 16-32-06  1.6  16048.3  -14511.9  194.878  2666.38
2  192  2025-06-14 16-32-06  3.2  16056.9  -14511.8  197.704  2660.83
3  192  2025-06-14 16-32-06  4.8  16065.7  -14511.7  200.479  2655.33
4  192  2025-06-14 16-32-06  6.4  16074.8  -14511.5  203.204  2649.9
5  192  2025-06-14 16-32-06  8  16084.2  -14511.2  205.881  2644.52
6  192  2025-06-14 16-32-06  9.6  16093.9  -14510.8  208.509  2639.21
7  192  2025-06-14 16-32-06  11.2  16103.8  -14510.4  211.09  2633.95
8  192  2025-06-14 16-32-06  12.8  16113.9  -14509.9  213.624  2628.76
9  192  2025-06-14 16-32-06  14.4  16124.3  -14509.4  216.113  2623.62
10  192  2025-06-14 16-32-06  128  16134.9  -14508.8  218.557  2618.54
11  192  2025-06-14 16-32-06  129.6  16145.8  -14508.1  220.957  2613.52
12  192  2025-06-14 16-32-06  131.2  16156.9  -14507.3  223.314  2608.56
13  192  2025-06-14 16-32-06  132.8  16168.2  -14506.5  225.629  2603.66
14  192  2025-06-14 16-32-06  134.4  16179.8  -14505.5  227.902  2598.81
15  192  2025-06-14 16-32-06  136  16191.6  -14504.5  230.134  2594.03
16  192  2025-06-14 16-32-06  137.6  16203.6  -14503.5  232.326  2589.3
17  192  2025-06-14 16-32-06  139.2  16215.7  -14502.3  234.478  2584.63
18  192  2025-06-14 16-32-06  140.8  16228.1  -14501  236.592  2580.02
19  192  2025-06-14 16-32-06  142.4  16240.7  -14499.7  238.668  2575.47
20  192  2025-06-14 16-32-06  144  16253.5  -14498.3  240.706  2570.97
21  192  2025-06-14 16-32-06  145.6  16266.5  -14496.8  242.708  2566.53
22  192  2025-06-14 16-32-06  147.2  16279.7  -14495.2  244.674  2562.15
23  192  2025-06-14 16-32-06  148.8  16293  -14493.5  246.604  2557.82
24  192  2025-06-14 16-32-06  150.4  16306.6  -14491.8  248.5  2553.56
25  192  2025-06-14 16-32-06  152  16320.3  -14489.9  250.361  2549.34
26  192  2025-06-14 16-32-06  153.6  16334.2  -14488  252.189  2545.19
27  192  2025-06-14 16-32-06  155.2  16348.2  -14486  253.984  2541.09
28  192  2025-06-14 16-32-06  156.8  16362.5  -14483.9  255.747  2537.04
29  192  2025-06-14 16-32-06  158.4  16376.8  -14481.7  257.479  2533.05
30  192  2025-06-14 16-32-06  160  16391.4  -14479.4  259.179  2529.12
31  192  2025-06-14 16-32-06  161.6  16406.1  -14477  260.848  2525.24
32  192  2025-06-14 16-32-06  163.2  16420.9  -14474.6  262.488  2521.42
33  192  2025-06-14 16-32-06  164.8  16435.9  -14472  264.098  2517.65
34  192  2025-06-14 16-32-06  166.4  16451  -14469.4  265.679  2513.94
35  192  2025-06-14 16-32-06  168  16466.3  -14466.6  267.231  2510.28
36  192  2025-06-14 16-32-06  169.6  16481.8  -14463.8  268.756  2506.67
37  192  2025-06-14 16-32-06  171.2  16497.3  -14460.9  270.253  2503.12
38  192  2025-06-14 16-32-06  172.8  16513  -14457.9  271.724  2499.62
39  192  2025-06-14 16-32-06  174.4  16528.8  -14454.9  1393.17  2496.17
40  192  2025-06-14 16-32-06  176  16544.8  -14451.7  1394.59  2492.78
41  192  2025-06-14 16-32-06  177.6  16560.8  -14448.5  1395.98  2489.44
42  192  2025-06-14 16-32-06  179.2  16577  -14445.1  1397.35  2486.15
43  192  2025-06-14 16-32-06  180.8  16593.4  -14441.7  1398.69  2482.91
44  192  2025-06-14 16-32-06  182.4  16609.8  -14438.2  1400.01  2479.73
45  192  2025-06-14 16-32-06  184  16626.3  -14434.7  1401.3  2476.6
46  192  2025-06-14 16-32-06  185.6  16643  -14431  1402.57  2473.51
47  192  2025-06-14 16-32-06  187.2  16659.8  -14427.2  1403.82  2470.48
48  192  2025-06-14 16-32-06  188.8  16676.6  -14423.4  1405.05  2467.5
49  192  2025-06-14 16-32-06  190.4  16693.6  -14419.5  1406.25  2464.57
