SN    USVID    CurTime    simTime    CurX    CurY    CurVel      CurYaw   
0  176  2025-06-11 21-51-08  0  16040  14512  192  2672
1  176  2025-06-11 21-51-08  1.6  16048  14511.9  192.086  2687.44
2  176  2025-06-11 21-51-08  3.2  16056  14511.6  192.173  2702.17
3  176  2025-06-11 21-51-08  4.8  16064  14511.2  192.259  2716.22
4  176  2025-06-11 21-51-08  6.4  16072.1  14510.7  192.345  2729.62
5  176  2025-06-11 21-51-08  8  16080.1  14510.1  192.432  2742.39
6  176  2025-06-11 21-51-08  9.6  16088.1  14509.4  192.518  2754.56
7  176  2025-06-11 21-51-08  11.2  16096.1  14508.5  192.604  2766.16
8  176  2025-06-11 21-51-08  12.8  16104.1  14507.6  192.691  2777.21
9  176  2025-06-11 21-51-08  14.4  16112.1  14506.6  192.777  2787.74
10  176  2025-06-11 21-51-08  128  16120.2  14505.5  192.863  2797.77
11  176  2025-06-11 21-51-08  129.6  16128.2  14504.3  192.95  2807.32
12  176  2025-06-11 21-51-08  131.2  16136.2  14503  193.036  2816.4
13  176  2025-06-11 21-51-08  132.8  16144.2  14501.7  193.122  2825.05
14  176  2025-06-11 21-51-08  134.4  16152.2  14500.3  193.209  14033.3
15  176  2025-06-11 21-51-08  136  16160.1  14498.8  193.295  14041.1
16  176  2025-06-11 21-51-08  137.6  16168.1  14497.2  193.381  14048.5
17  176  2025-06-11 21-51-08  139.2  16176.1  14495.6  193.468  14055.6
18  176  2025-06-11 21-51-08  140.8  16184.1  14493.9  193.554  14062.3
19  176  2025-06-11 21-51-08  142.4  16192.1  14492.2  193.64  14068.7
20  176  2025-06-11 21-51-08  144  16200.1  14490.4  193.727  14074.8
21  176  2025-06-11 21-51-08  145.6  16208  14488.5  193.813  14080.5
22  176  2025-06-11 21-51-08  147.2  16216  14486.6  193.899  14086
23  176  2025-06-11 21-51-08  148.8  16224  14484.7  193.986  14091.2
24  176  2025-06-11 21-51-08  150.4  16231.9  14482.7  194.072  14096.1
25  176  2025-06-11 21-51-08  152  16239.9  14480.7  194.158  14100.7
26  176  2025-06-11 21-51-08  153.6  16247.8  14478.6  194.245  14105.1
27  176  2025-06-11 21-51-08  155.2  16255.8  14476.5  194.331  14109.3
28  176  2025-06-11 21-51-08  156.8  16263.8  14474.4  194.417  14113.2
29  176  2025-06-11 21-51-08  158.4  16271.7  14472.2  194.504  14116.9
30  176  2025-06-11 21-51-08  160  16279.7  14470  194.59  14120.5
31  176  2025-06-11 21-51-08  161.6  16287.6  14467.7  194.676  14123.8
32  176  2025-06-11 21-51-08  163.2  16295.6  14465.5  194.763  14126.9
33  176  2025-06-11 21-51-08  164.8  16303.5  14463.2  194.849  14129.9
34  176  2025-06-11 21-51-08  166.4  16311.5  14460.8  194.935  14132.6
35  176  2025-06-11 21-51-08  168  16319.5  14458.5  195.022  14135.2
36  176  2025-06-11 21-51-08  169.6  16327.4  14456.1  195.108  14137.7
37  176  2025-06-11 21-51-08  171.2  16335.4  14453.7  195.194  14140
38  176  2025-06-11 21-51-08  172.8  16343.4  14451.3  195.281  14142.2
39  176  2025-06-11 21-51-08  174.4  16351.3  14448.9  195.367  14144.2
40  176  2025-06-11 21-51-08  176  16359.3  14446.4  195.453  14146.1
41  176  2025-06-11 21-51-08  177.6  16367.3  14443.9  195.54  14147.9
42  176  2025-06-11 21-51-08  179.2  16375.3  14441.4  195.626  14149.5
43  176  2025-06-11 21-51-08  180.8  16383.3  14438.9  195.712  14151.1
44  176  2025-06-11 21-51-08  182.4  16391.3  14436.4  195.799  14152.5
45  176  2025-06-11 21-51-08  184  16399.2  14433.9  195.885  14153.8
46  176  2025-06-11 21-51-08  185.6  16407.2  14431.3  195.971  14155.1
47  176  2025-06-11 21-51-08  187.2  16415.3  14428.7  196.058  14156.2
48  176  2025-06-11 21-51-08  188.8  16423.3  14426.2  196.144  14157.3
49  176  2025-06-11 21-51-08  190.4  16431.3  14423.6  196.23  14158.2
50  176  2025-06-11 21-51-08  192  16439.3  14421  196.317  14159.1
51  176  2025-06-11 21-51-08  193.6  16447.3  14418.4  196.403  14159.9
52  176  2025-06-11 21-51-08  195.2  16455.4  14415.8  196.489  14160.6
53  176  2025-06-11 21-51-08  196.8  16463.4  14413.1  196.576  14161.3
54  176  2025-06-11 21-51-08  198.4  16471.4  14410.5  196.662  14161.9
55  176  2025-06-11 21-51-08  200  16479.5  14407.9  196.748  14162.4
56  176  2025-06-11 21-51-08  201.6  16487.6  14405.2  196.835  14162.9
57  176  2025-06-11 21-51-08  203.2  16495.6  14402.6  196.921  14163.3
58  176  2025-06-11 21-51-08  204.8  16503.7  14399.9  197.007  14163.6
59  176  2025-06-11 21-51-08  206.4  16511.8  14397.2  197.094  14163.9
60  176  2025-06-11 21-51-08  208  16519.9  14394.6  197.18  14164.2
61  176  2025-06-11 21-51-08  209.6  16528  14391.9  197.266  14164.4
62  176  2025-06-11 21-51-08  211.2  16536.1  14389.2  197.353  14164.5
63  176  2025-06-11 21-51-08  212.8  16544.2  14386.5  197.439  14164.6
64  176  2025-06-11 21-51-08  214.4  16552.3  14383.8  197.525  14164.7
65  176  2025-06-11 21-51-08  216  16560.4  14381.2  197.612  14164.7
66  176  2025-06-11 21-51-08  217.6  16568.6  14378.5  197.698  14164.7
67  176  2025-06-11 21-51-08  219.2  16576.7  14375.8  197.784  14164.7
68  176  2025-06-11 21-51-08  220.8  16584.9  14373.1  197.871  14164.6
69  176  2025-06-11 21-51-08  222.4  16593  14370.4  197.957  14164.5
70  176  2025-06-11 21-51-08  224  16601.2  14367.7  198.043  14164.4
71  176  2025-06-11 21-51-08  225.6  16609.4  14365  198.13  14164.2
72  176  2025-06-11 21-51-08  227.2  16617.6  14362.3  198.216  14164
73  176  2025-06-11 21-51-08  228.8  16625.8  14359.6  198.302  14163.8
74  176  2025-06-11 21-51-08  230.4  16634  14356.9  198.389  14163.5
75  176  2025-06-11 21-51-08  232  16642.2  14354.2  198.475  14163.3
76  176  2025-06-11 21-51-08  233.6  16650.4  14351.5  198.561  14163
77  176  2025-06-11 21-51-08  235.2  16658.6  14348.8  198.648  14162.7
78  176  2025-06-11 21-51-08  236.8  16666.9  14346.1  198.734  14162.4
79  176  2025-06-11 21-51-08  238.4  16675.1  14343.4  198.82  14162
80  176  2025-06-11 21-51-08  240  16683.4  14340.7  198.907  14161.7
81  176  2025-06-11 21-51-08  241.6  16691.7  14338  198.993  14161.3
82  176  2025-06-11 21-51-08  243.2  16699.9  14335.3  199.079  14160.9
83  176  2025-06-11 21-51-08  244.8  16708.2  14332.6  199.166  14160.5
84  176  2025-06-11 21-51-08  246.4  16716.5  14329.9  199.252  14160.1
85  176  2025-06-11 21-51-08  248  16724.8  14327.2  199.338  14159.6
86  176  2025-06-11 21-51-08  249.6  16733.2  14324.5  199.425  14159.2
87  176  2025-06-11 21-51-08  251.2  16741.5  14321.8  199.511  14158.7
88  176  2025-06-11 21-51-08  252.8  16749.8  14319.1  199.597  14158.3
