SN    USVID    CurTime    simTime    CurX    CurY    CurVel      CurYaw   
0  160  2025-06-14 16-29-27  0  2440  -14512  192  2672
1  160  2025-06-14 16-29-27  1.6  2448.01  -14512  192.058  2668.77
2  160  2025-06-14 16-29-27  3.2  2456.02  -14511.9  192.115  2665.5
3  160  2025-06-14 16-29-27  4.8  2464.03  -14511.8  192.173  2662.21
4  160  2025-06-14 16-29-27  6.4  2472.06  -14511.7  192.23  2658.88
5  160  2025-06-14 16-29-27  8  2480.08  -14511.6  192.288  2655.52
6  160  2025-06-14 16-29-27  9.6  2488.12  -14511.4  192.345  2652.13
7  160  2025-06-14 16-29-27  11.2  2496.15  -14511.2  192.403  2648.7
8  160  2025-06-14 16-29-27  12.8  2504.2  -14511  192.46  2645.25
9  160  2025-06-14 16-29-27  14.4  2512.24  -14510.7  192.518  2641.76
10  160  2025-06-14 16-29-27  128  2520.3  -14510.4  192.576  2638.24
11  160  2025-06-14 16-29-27  129.6  2528.35  -14510.1  192.633  2634.69
12  160  2025-06-14 16-29-27  131.2  2536.41  -14509.7  192.691  2631.1
13  160  2025-06-14 16-29-27  132.8  2544.48  -14509.3  192.748  2627.49
14  160  2025-06-14 16-29-27  134.4  2552.55  -14508.9  192.806  2623.84
15  160  2025-06-14 16-29-27  136  2560.62  -14508.4  192.863  2620.16
16  160  2025-06-14 16-29-27  137.6  2568.7  -14507.9  192.921  2616.45
17  160  2025-06-14 16-29-27  139.2  2576.78  -14507.4  192.978  2612.7
18  160  2025-06-14 16-29-27  140.8  2584.86  -14506.9  193.036  2608.93
19  160  2025-06-14 16-29-27  142.4  2592.95  -14506.3  193.094  2605.12
20  160  2025-06-14 16-29-27  144  2601.04  -14505.6  193.151  2601.28
21  160  2025-06-14 16-29-27  145.6  2609.14  -14505  193.209  2597.41
22  160  2025-06-14 16-29-27  147.2  2617.23  -14504.3  193.266  2593.5
23  160  2025-06-14 16-29-27  148.8  2625.33  -14503.6  193.324  2589.57
24  160  2025-06-14 16-29-27  150.4  2633.44  -14502.8  193.381  2585.6
25  160  2025-06-14 16-29-27  152  2641.54  -14502  193.439  2581.6
26  160  2025-06-14 16-29-27  153.6  2649.63  -14501.2  193.353  2580.8
27  160  2025-06-14 16-29-27  155.2  2657.72  -14500.4  193.266  2580
28  160  2025-06-14 16-29-27  156.8  2665.8  -14499.6  193.18  2579.2
29  160  2025-06-14 16-29-27  158.4  2673.86  -14498.7  193.094  2578.4
30  160  2025-06-14 16-29-27  160  2681.92  -14497.9  193.007  2577.6
31  160  2025-06-14 16-29-27  161.6  2689.97  -14497.1  192.921  2576.8
32  160  2025-06-14 16-29-27  163.2  2698.01  -14496.2  192.835  2576
33  160  2025-06-14 16-29-27  164.8  2706.04  -14495.4  192.748  2575.2
34  160  2025-06-14 16-29-27  166.4  2714.06  -14494.5  192.662  2574.4
35  160  2025-06-14 16-29-27  168  2722.07  -14493.6  192.576  2573.6
36  160  2025-06-14 16-29-27  169.6  2730.07  -14492.8  192.489  2572.8
37  160  2025-06-14 16-29-27  171.2  2738.35  -14491.8  195.358  2566.42
38  160  2025-06-14 16-29-27  172.8  2746.62  -14490.8  195.272  2565.57
39  160  2025-06-14 16-29-27  174.4  2754.89  -14489.9  195.186  2564.71
40  160  2025-06-14 16-29-27  176  2763.14  -14488.9  195.099  2563.86
41  160  2025-06-14 16-29-27  177.6  2771.38  -14487.9  195.013  2563
42  160  2025-06-14 16-29-27  179.2  2779.61  -14486.9  194.927  2562.15
43  160  2025-06-14 16-29-27  180.8  2788.12  -14485.8  197.752  2555.95
44  160  2025-06-14 16-29-27  182.4  2796.62  -14484.7  197.665  2555.05
45  160  2025-06-14 16-29-27  184  2805.11  -14483.6  197.579  2554.14
46  160  2025-06-14 16-29-27  185.6  2813.58  -14482.5  197.493  2553.23
47  160  2025-06-14 16-29-27  187.2  2822.05  -14481.4  197.406  2552.32
48  160  2025-06-14 16-29-27  188.8  2830.51  -14480.3  197.32  2551.41
49  160  2025-06-14 16-29-27  190.4  14039.2  -14479.1  200.102  2545.4
50  160  2025-06-14 16-29-27  192  14048  -14477.9  200.016  2544.44
51  160  2025-06-14 16-29-27  193.6  14056.7  -14476.7  199.929  2543.49
52  160  2025-06-14 16-29-27  195.2  14065.4  -14475.4  199.843  2542.53
53  160  2025-06-14 16-29-27  196.8  14074  -14474.2  199.757  2541.57
54  160  2025-06-14 16-29-27  198.4  14083  -14472.8  202.495  2535.73
55  160  2025-06-14 16-29-27  200  14091.9  -14471.5  202.409  2534.72
56  160  2025-06-14 16-29-27  201.6  14100.9  -14470.1  202.322  2533.71
57  160  2025-06-14 16-29-27  203.2  14109.8  -14468.8  202.236  2532.71
58  160  2025-06-14 16-29-27  204.8  14118.7  -14467.4  202.15  2531.7
59  160  2025-06-14 16-29-27  206.4  14127.9  -14465.9  204.845  2526.02
60  160  2025-06-14 16-29-27  208  14137  -14464.4  204.759  2524.97
61  160  2025-06-14 16-29-27  209.6  14146.2  -14462.9  204.672  2523.92
62  160  2025-06-14 16-29-27  211.2  14155.3  -14461.4  204.586  2522.86
63  160  2025-06-14 16-29-27  212.8  14164.7  -14459.8  207.237  2517.34
64  160  2025-06-14 16-29-27  214.4  14174.1  -14458.2  207.151  2516.24
65  160  2025-06-14 16-29-27  216  14183.4  -14456.6  207.065  2515.14
66  160  2025-06-14 16-29-27  217.6  14192.8  -14455  206.978  2514.04
67  160  2025-06-14 16-29-27  219.2  14202.1  -14453.3  206.892  2512.95
68  160  2025-06-14 16-29-27  220.8  14211.7  -14451.6  209.502  2507.59
69  160  2025-06-14 16-29-27  222.4  14221.3  -14449.9  209.416  2506.45
70  160  2025-06-14 16-29-27  224  14230.9  -14448.1  209.329  2505.32
71  160  2025-06-14 16-29-27  225.6  14240.4  -14446.3  209.243  2504.18
72  160  2025-06-14 16-29-27  227.2  14250.3  -14444.5  211.811  2498.97
73  160  2025-06-14 16-29-27  228.8  14260  -14442.6  211.724  2497.79
74  160  2025-06-14 16-29-27  230.4  14269.8  -14440.7  211.638  2496.61
75  160  2025-06-14 16-29-27  232  14279.6  -14438.8  211.552  2495.43
76  160  2025-06-14 16-29-27  233.6  14289.6  -14436.8  214.078  2490.38
77  160  2025-06-14 16-29-27  235.2  14299.6  -14434.7  213.991  2489.16
78  160  2025-06-14 16-29-27  236.8  14309.6  -14432.7  213.905  2487.95
79  160  2025-06-14 16-29-27  238.4  14319.6  -14430.7  213.819  2486.73
80  160  2025-06-14 16-29-27  240  14329.8  -14428.5  216.304  2481.83
81  160  2025-06-14 16-29-27  241.6  14340  -14426.4  216.218  2480.57
82  160  2025-06-14 16-29-27  243.2  14350.1  -14424.2  216.131  2479.32
83  160  2025-06-14 16-29-27  244.8  14360.3  -14422  216.045  2478.06
84  160  2025-06-14 16-29-27  246.4  14370.7  -14419.7  218.49  2473.32
85  160  2025-06-14 16-29-27  248  14381.1  -14417.4  218.404  2472.03
86  160  2025-06-14 16-29-27  249.6  14391.5  -14415.1  218.318  2470.74
87  160  2025-06-14 16-29-27  251.2  14401.9  -14412.8  218.231  2469.45
88  160  2025-06-14 16-29-27  252.8  14412.4  -14410.3  220.637  2464.86
89  160  2025-06-14 16-29-27  254.4  14423  -14407.9  220.551  2463.54
90  160  2025-06-14 16-29-27  256  14433.6  -14405.4  220.465  2462.22
91  160  2025-06-14 16-29-27  257.6  14444.1  -14402.9  220.378  2460.9
92  160  2025-06-14 16-29-27  259.2  14454.9  -14400.4  222.746  2456.46
93  160  2025-06-14 16-29-27  260.8  14465.7  -14397.8  222.659  2455.11
94  160  2025-06-14 16-29-27  262.4  14476.4  -14395.2  222.573  2453.76
95  160  2025-06-14 16-29-27  264  14487.4  -14392.5  224.901  2449.45
96  160  2025-06-14 16-29-27  265.6  14498.3  -14389.7  224.815  2448.07
97  160  2025-06-14 16-29-27  267.2  14509.2  -14387  224.728  2446.69
98  160  2025-06-14 16-29-27  268.8  14520.2  -14384.2  224.642  2445.31
99  160  2025-06-14 16-29-27  270.4  14531.3  -14381.4  226.933  2441.16
100  160  2025-06-14 16-29-27  1392  14542.4  -14378.5  226.846  2439.75
101  160  2025-06-14 16-29-27  1393.6  14553.5  -14375.6  226.76  2438.34
