SN    USVID    CurTime    simTime    AVOID_Dis    OBS_X    OBS_Y    OBS_R     OBS_V      OBS_Yaw   
0  240  2025-05-30 20-18-29  2430.4  2670.92  25232  0  1872  0  0
1  240  2025-05-30 20-18-29  2432  2660.96  25232  0  1872  0  0
2  240  2025-05-30 20-18-29  2433.6  2651.01  25232  0  1872  0  0
3  240  2025-05-30 20-18-29  2435.2  2641.06  25232  0  1872  0  0
4  240  2025-05-30 20-18-29  2436.8  2631.11  25232  0  1872  0  0
5  240  2025-05-30 20-18-29  2438.4  2621.17  25232  0  1872  0  0
6  240  2025-05-30 20-18-29  2440  2611.23  25232  0  1872  0  0
7  240  2025-05-30 20-18-29  2441.6  2601.29  25232  0  1872  0  0
8  240  2025-05-30 20-18-29  2443.2  2591.36  25232  0  1872  0  0
9  240  2025-05-30 20-18-29  2444.8  2581.43  25232  0  1872  0  0
10  240  2025-05-30 20-18-29  2446.4  2571.51  25232  0  1872  0  0
11  240  2025-05-30 20-18-29  2448  2561.59  25232  0  1872  0  0
12  240  2025-05-30 20-18-29  2449.6  2551.67  25232  0  1872  0  0
13  240  2025-05-30 20-18-29  2451.2  2541.76  25232  0  1872  0  0
14  240  2025-05-30 20-18-29  2452.8  2531.86  25232  0  1872  0  0
15  240  2025-05-30 20-18-29  2454.4  2521.95  25232  0  1872  0  0
16  240  2025-05-30 20-18-29  2456  2512.06  25232  0  1872  0  0
17  240  2025-05-30 20-18-29  2457.6  2502.17  25232  0  1872  0  0
18  240  2025-05-30 20-18-29  2459.2  2492.28  25232  0  1872  0  0
19  240  2025-05-30 20-18-29  2460.8  2482.4  25232  0  1872  0  0
20  240  2025-05-30 20-18-29  2462.4  2472.53  25232  0  1872  0  0
21  240  2025-05-30 20-18-29  2464  2462.66  25232  0  1872  0  0
22  240  2025-05-30 20-18-29  2465.6  2452.8  25232  0  1872  0  0
23  240  2025-05-30 20-18-29  2467.2  2442.94  25232  0  1872  0  0
24  240  2025-05-30 20-18-29  2468.8  2433.09  25232  0  1872  0  0
25  240  2025-05-30 20-18-29  2470.4  2423.25  25232  0  1872  0  0
26  240  2025-05-30 20-18-29  2472  2413.41  25232  0  1872  0  0
27  240  2025-05-30 20-18-29  2473.6  2403.59  25232  0  1872  0  0
28  240  2025-05-30 20-18-29  2475.2  2393.77  25232  0  1872  0  0
29  240  2025-05-30 20-18-29  2476.8  2383.95  25232  0  1872  0  0
30  240  2025-05-30 20-18-29  2478.4  2374.15  25232  0  1872  0  0
31  240  2025-05-30 20-18-29  2480  2364.35  25232  0  1872  0  0
32  240  2025-05-30 20-18-29  2481.6  2354.57  25232  0  1872  0  0
33  240  2025-05-30 20-18-29  2483.2  2344.79  25232  0  1872  0  0
34  240  2025-05-30 20-18-29  2484.8  2335.02  25232  0  1872  0  0
35  240  2025-05-30 20-18-29  2486.4  2325.26  25232  0  1872  0  0
36  240  2025-05-30 20-18-29  2488  2315.51  25232  0  1872  0  0
37  240  2025-05-30 20-18-29  2489.6  2305.77  25232  0  1872  0  0
38  240  2025-05-30 20-18-29  2491.2  2296.04  25232  0  1872  0  0
39  240  2025-05-30 20-18-29  2492.8  2286.33  25232  0  1872  0  0
40  240  2025-05-30 20-18-29  2494.4  2276.62  25232  0  1872  0  0
41  240  2025-05-30 20-18-29  2496  2266.93  25232  0  1872  0  0
42  240  2025-05-30 20-18-29  2497.6  2257.24  25232  0  1872  0  0
43  240  2025-05-30 20-18-29  2499.2  2247.57  25232  0  1872  0  0
44  240  2025-05-30 20-18-29  2500.8  2237.92  25232  0  1872  0  0
45  240  2025-05-30 20-18-29  2502.4  2228.27  25232  0  1872  0  0
46  240  2025-05-30 20-18-29  2504  2218.64  25232  0  1872  0  0
47  240  2025-05-30 20-18-29  2505.6  2209.03  25232  0  1872  0  0
48  240  2025-05-30 20-18-29  2507.2  2199.43  25232  0  1872  0  0
49  240  2025-05-30 20-18-29  2508.8  2189.84  25232  0  1872  0  0
50  240  2025-05-30 20-18-29  2510.4  2180.27  25232  0  1872  0  0
51  240  2025-05-30 20-18-29  2512  2170.72  25232  0  1872  0  0
52  240  2025-05-30 20-18-29  2513.6  2161.18  25232  0  1872  0  0
53  240  2025-05-30 20-18-29  2515.2  2151.66  25232  0  1872  0  0
54  240  2025-05-30 20-18-29  2516.8  2142.16  25232  0  1872  0  0
55  240  2025-05-30 20-18-29  2518.4  2132.68  25232  0  1872  0  0
56  240  2025-05-30 20-18-29  2520  2123.22  25232  0  1872  0  0
57  240  2025-05-30 20-18-29  2521.6  2113.78  25232  0  1872  0  0
58  240  2025-05-30 20-18-29  2523.2  2104.36  25232  0  1872  0  0
59  240  2025-05-30 20-18-29  2524.8  2094.96  25232  0  1872  0  0
60  240  2025-05-30 20-18-29  2526.4  2085.58  25232  0  1872  0  0
61  240  2025-05-30 20-18-29  2528  2076.23  25232  0  1872  0  0
62  240  2025-05-30 20-18-29  2529.6  2066.9  25232  0  1872  0  0
63  240  2025-05-30 20-18-29  2531.2  2057.6  25232  0  1872  0  0
64  240  2025-05-30 20-18-29  2532.8  2048.32  25232  0  1872  0  0
65  240  2025-05-30 20-18-29  2534.4  2039.07  25232  0  1872  0  0
66  240  2025-05-30 20-18-29  2536  2029.85  25232  0  1872  0  0
67  240  2025-05-30 20-18-29  2537.6  2020.66  25232  0  1872  0  0
68  240  2025-05-30 20-18-29  2539.2  2011.49  25232  0  1872  0  0
69  240  2025-05-30 20-18-29  2540.8  2002.36  25232  0  1872  0  0
70  240  2025-05-30 20-18-29  2542.4  1993.26  25232  0  1872  0  0
71  240  2025-05-30 20-18-29  2544  1984.2  25232  0  1872  0  0
72  240  2025-05-30 20-18-29  2545.6  1975.17  25232  0  1872  0  0
73  240  2025-05-30 20-18-29  2547.2  1966.18  25232  0  1872  0  0
74  240  2025-05-30 20-18-29  2548.8  1957.23  25232  0  1872  0  0
75  240  2025-05-30 20-18-29  2550.4  1948.31  25232  0  1872  0  0
76  240  2025-05-30 20-18-29  2552  1939.44  25232  0  1872  0  0
77  240  2025-05-30 20-18-29  2553.6  1930.61  25232  0  1872  0  0
78  240  2025-05-30 20-18-29  2555.2  1921.83  25232  0  1872  0  0
79  240  2025-05-30 20-18-29  2556.8  1913.09  25232  0  1872  0  0
80  240  2025-05-30 20-18-29  2558.4  1904.4  25232  0  1872  0  0
81  240  2025-05-30 20-18-29  2560  1895.76  25232  0  1872  0  0
82  240  2025-05-30 20-18-29  2561.6  1887.18  25232  0  1872  0  0
83  240  2025-05-30 20-18-29  2563.2  1878.65  25232  0  1872  0  0
84  240  2025-05-30 20-18-29  2564.8  1870.17  25232  0  1872  0  0
85  240  2025-05-30 20-18-29  2566.4  1861.76  25232  0  1872  0  0
86  240  2025-05-30 20-18-29  2568  1853.41  25232  0  1872  0  0
87  240  2025-05-30 20-18-29  2569.6  1845.12  25232  0  1872  0  0
88  240  2025-05-30 20-18-29  2571.2  1836.9  25232  0  1872  0  0
89  240  2025-05-30 20-18-29  2572.8  1828.75  25232  0  1872  0  0
90  240  2025-05-30 20-18-29  2574.4  1820.67  25232  0  1872  0  0
91  240  2025-05-30 20-18-29  2576  1812.67  25232  0  1872  0  0
92  240  2025-05-30 20-18-29  2577.6  1804.75  25232  0  1872  0  0
93  240  2025-05-30 20-18-29  2579.2  1796.92  25232  0  1872  0  0
94  240  2025-05-30 20-18-29  2580.8  1789.17  25232  0  1872  0  0
95  240  2025-05-30 20-18-29  2582.4  1781.51  25232  0  1872  0  0
96  240  2025-05-30 20-18-29  2584  1773.95  25232  0  1872  0  0
97  240  2025-05-30 20-18-29  2585.6  1766.49  25232  0  1872  0  0
98  240  2025-05-30 20-18-29  2587.2  1759.12  25232  0  1872  0  0
99  240  2025-05-30 20-18-29  2588.8  1751.87  25232  0  1872  0  0
100  240  2025-05-30 20-18-29  2590.4  1744.73  25232  0  1872  0  0
101  240  2025-05-30 20-18-29  2592  1737.71  25232  0  1872  0  0
102  240  2025-05-30 20-18-29  2593.6  1730.81  25232  0  1872  0  0
103  240  2025-05-30 20-18-29  2595.2  1724.04  25232  0  1872  0  0
104  240  2025-05-30 20-18-29  2596.8  1717.4  25232  0  1872  0  0
105  240  2025-05-30 20-18-29  2598.4  1710.9  25232  0  1872  0  0
106  240  2025-05-30 20-18-29  2600  1704.55  25232  0  1872  0  0
107  240  2025-05-30 20-18-29  2601.6  1698.34  25232  0  1872  0  0
108  240  2025-05-30 20-18-29  2603.2  1692.3  25232  0  1872  0  0
109  240  2025-05-30 20-18-29  2604.8  1686.41  25232  0  1872  0  0
110  240  2025-05-30 20-18-29  2606.4  1680.7  25232  0  1872  0  0
111  240  2025-05-30 20-18-29  2608  1675.17  25232  0  1872  0  0
112  240  2025-05-30 20-18-29  2609.6  1669.82  25232  0  1872  0  0
113  240  2025-05-30 20-18-29  2611.2  1664.66  25232  0  1872  0  0
114  240  2025-05-30 20-18-29  2612.8  1659.69  25232  0  1872  0  0
115  240  2025-05-30 20-18-29  2614.4  1654.94  25232  0  1872  0  0
116  240  2025-05-30 20-18-29  2616  1650.39  25232  0  1872  0  0
117  240  2025-05-30 20-18-29  2617.6  1646.07  25232  0  1872  0  0
118  240  2025-05-30 20-18-29  2619.2  1641.97  25232  0  1872  0  0
119  240  2025-05-30 20-18-29  2620.8  1638.1  25232  0  1872  0  0
120  240  2025-05-30 20-18-29  2622.4  1634.48  25232  0  1872  0  0
121  240  2025-05-30 20-18-29  2624  1631.1  25232  0  1872  0  0
122  240  2025-05-30 20-18-29  2625.6  1627.97  25232  0  1872  0  0
123  240  2025-05-30 20-18-29  2627.2  1625.11  25232  0  1872  0  0
124  240  2025-05-30 20-18-29  2628.8  1622.51  25232  0  1872  0  0
125  240  2025-05-30 20-18-29  2630.4  1620.18  25232  0  1872  0  0
126  240  2025-05-30 20-18-29  2632  1618.13  25232  0  1872  0  0
127  240  2025-05-30 20-18-29  2633.6  1616.36  25232  0  1872  0  0
128  240  2025-05-30 20-18-29  2635.2  1614.87  25232  0  1872  0  0
129  240  2025-05-30 20-18-29  2636.8  1613.68  25232  0  1872  0  0
130  240  2025-05-30 20-18-29  2638.4  1612.77  25232  0  1872  0  0
131  240  2025-05-30 20-18-29  2640  1612.16  25232  0  1872  0  0
132  240  2025-05-30 20-18-29  2641.6  1611.84  25232  0  1872  0  0
133  240  2025-05-30 20-18-29  2643.2  1611.82  25232  0  1872  0  0
134  240  2025-05-30 20-18-29  2644.8  1612.09  25232  0  1872  0  0
135  240  2025-05-30 20-18-29  2646.4  1612.66  25232  0  1872  0  0
136  240  2025-05-30 20-18-29  2648  1613.53  25232  0  1872  0  0
137  240  2025-05-30 20-18-29  2649.6  1614.69  25232  0  1872  0  0
138  240  2025-05-30 20-18-29  2651.2  1616.13  25232  0  1872  0  0
139  240  2025-05-30 20-18-29  2652.8  1617.87  25232  0  1872  0  0
140  240  2025-05-30 20-18-29  2654.4  1619.89  25232  0  1872  0  0
141  240  2025-05-30 20-18-29  2656  1622.19  25232  0  1872  0  0
142  240  2025-05-30 20-18-29  2657.6  1624.76  25232  0  1872  0  0
143  240  2025-05-30 20-18-29  2659.2  1627.6  25232  0  1872  0  0
144  240  2025-05-30 20-18-29  2660.8  1630.71  25232  0  1872  0  0
145  240  2025-05-30 20-18-29  2662.4  1634.07  25232  0  1872  0  0
146  240  2025-05-30 20-18-29  2664  1637.69  25232  0  1872  0  0
147  240  2025-05-30 20-18-29  2665.6  1641.55  25232  0  1872  0  0
148  240  2025-05-30 20-18-29  2667.2  1645.65  25232  0  1872  0  0
149  240  2025-05-30 20-18-29  2668.8  1649.98  25232  0  1872  0  0
150  240  2025-05-30 20-18-29  2670.4  1654.54  25232  0  1872  0  0
151  240  2025-05-30 20-18-29  2672  1659.31  25232  0  1872  0  0
152  240  2025-05-30 20-18-29  2673.6  1664.29  25232  0  1872  0  0
153  240  2025-05-30 20-18-29  2675.2  1669.48  25232  0  1872  0  0
154  240  2025-05-30 20-18-29  2676.8  1674.86  25232  0  1872  0  0
155  240  2025-05-30 20-18-29  2678.4  1680.43  25232  0  1872  0  0
156  240  2025-05-30 20-18-29  2680  1686.19  25232  0  1872  0  0
157  240  2025-05-30 20-18-29  2681.6  1692.12  25232  0  1872  0  0
158  240  2025-05-30 20-18-29  2683.2  1698.22  25232  0  1872  0  0
159  240  2025-05-30 20-18-29  2684.8  1704.48  25232  0  1872  0  0
160  240  2025-05-30 20-18-29  2686.4  1710.9  25232  0  1872  0  0
161  240  2025-05-30 20-18-29  2688  1717.47  25232  0  1872  0  0
162  240  2025-05-30 20-18-29  2689.6  1724.19  25232  0  1872  0  0
163  240  2025-05-30 20-18-29  2691.2  1731.04  25232  0  1872  0  0
164  240  2025-05-30 20-18-29  2692.8  1738.03  25232  0  1872  0  0
165  240  2025-05-30 20-18-29  2694.4  1745.15  25232  0  1872  0  0
166  240  2025-05-30 20-18-29  2696  1752.38  25232  0  1872  0  0
167  240  2025-05-30 20-18-29  2697.6  1759.74  25232  0  1872  0  0
168  240  2025-05-30 20-18-29  2699.2  1767.21  25232  0  1872  0  0
169  240  2025-05-30 20-18-29  2700.8  1774.79  25232  0  1872  0  0
170  240  2025-05-30 20-18-29  2702.4  1782.47  25232  0  1872  0  0
171  240  2025-05-30 20-18-29  2704  1790.26  25232  0  1872  0  0
172  240  2025-05-30 20-18-29  2705.6  1798.13  25232  0  1872  0  0
173  240  2025-05-30 20-18-29  2707.2  1806.11  25232  0  1872  0  0
174  240  2025-05-30 20-18-29  2708.8  1814.17  25232  0  1872  0  0
175  240  2025-05-30 20-18-29  2710.4  1822.31  25232  0  1872  0  0
176  240  2025-05-30 20-18-29  2712  1830.54  25232  0  1872  0  0
177  240  2025-05-30 20-18-29  2713.6  1838.84  25232  0  1872  0  0
178  240  2025-05-30 20-18-29  2715.2  1847.22  25232  0  1872  0  0
179  240  2025-05-30 20-18-29  2716.8  1855.68  25232  0  1872  0  0
180  240  2025-05-30 20-18-29  2718.4  1864.2  25232  0  1872  0  0
181  240  2025-05-30 20-18-29  2720  1872.79  25232  0  1872  0  0
182  240  2025-05-30 20-18-29  2721.6  1881.44  25232  0  1872  0  0
183  240  2025-05-30 20-18-29  2723.2  1890.16  25232  0  1872  0  0
