SN    USVID    CurTime    simTime    CurX    CurY    CurVel      CurYaw   
0  192  2025-06-14 15-03-07  0  16040  -14512  192  2672
1  192  2025-06-14 15-03-07  1.6  16048.3  -14511.9  194.878  2666.38
2  192  2025-06-14 15-03-07  3.2  16056.9  -14511.8  197.704  2660.83
3  192  2025-06-14 15-03-07  4.8  16065.7  -14511.7  200.479  2655.33
4  192  2025-06-14 15-03-07  6.4  16074.8  -14511.5  203.204  2649.9
5  192  2025-06-14 15-03-07  8  16084.2  -14511.2  205.881  2644.52
6  192  2025-06-14 15-03-07  9.6  16093.9  -14510.8  208.509  2639.21
7  192  2025-06-14 15-03-07  11.2  16103.8  -14510.4  211.09  2633.95
8  192  2025-06-14 15-03-07  12.8  16113.9  -14509.9  213.624  2628.76
9  192  2025-06-14 15-03-07  14.4  16124.3  -14509.4  216.113  2623.62
10  192  2025-06-14 15-03-07  128  16134.9  -14508.8  218.557  2618.54
11  192  2025-06-14 15-03-07  129.6  16145.8  -14508.1  220.957  2613.52
12  192  2025-06-14 15-03-07  131.2  16156.9  -14507.3  223.314  2608.56
13  192  2025-06-14 15-03-07  132.8  16168.2  -14506.5  225.629  2603.66
14  192  2025-06-14 15-03-07  134.4  16179.8  -14505.5  227.902  2598.81
15  192  2025-06-14 15-03-07  136  16191.6  -14504.5  230.134  2594.03
16  192  2025-06-14 15-03-07  137.6  16203.6  -14503.5  232.326  2589.3
17  192  2025-06-14 15-03-07  139.2  16215.7  -14502.3  234.478  2584.63
18  192  2025-06-14 15-03-07  140.8  16228.1  -14501  236.592  2580.02
19  192  2025-06-14 15-03-07  142.4  16240.7  -14499.7  238.668  2575.47
20  192  2025-06-14 15-03-07  144  16253.5  -14498.3  240.706  2570.97
21  192  2025-06-14 15-03-07  145.6  16266.5  -14496.8  242.708  2566.53
22  192  2025-06-14 15-03-07  147.2  16279.7  -14495.2  244.674  2562.15
23  192  2025-06-14 15-03-07  148.8  16293  -14493.5  246.604  2557.82
24  192  2025-06-14 15-03-07  150.4  16306.6  -14491.8  248.5  2553.56
25  192  2025-06-14 15-03-07  152  16320.3  -14489.9  250.361  2549.34
26  192  2025-06-14 15-03-07  153.6  16334.2  -14488  252.189  2545.19
27  192  2025-06-14 15-03-07  155.2  16348.2  -14486  253.984  2541.09
28  192  2025-06-14 15-03-07  156.8  16362.5  -14483.9  255.747  2537.04
29  192  2025-06-14 15-03-07  158.4  16376.8  -14481.7  257.479  2533.05
30  192  2025-06-14 15-03-07  160  16391.4  -14479.4  259.179  2529.12
31  192  2025-06-14 15-03-07  161.6  16406.1  -14477  260.848  2525.24
32  192  2025-06-14 15-03-07  163.2  16420.9  -14474.6  262.488  2521.42
