SN    USVID    CurTime    simTime    CurX    CurY    CurVel      CurYaw   
0  176  2025-06-14 14-22-54  0  16040  14512  192  2672
1  176  2025-06-14 14-22-54  1.6  16048.3  14511.9  194.878  2677.62
2  176  2025-06-14 14-22-54  3.2  16056.9  14511.8  197.704  2683.17
3  176  2025-06-14 14-22-54  4.8  16065.7  14511.7  200.479  2688.67
4  176  2025-06-14 14-22-54  6.4  16074.8  14511.5  203.204  2694.1
5  176  2025-06-14 14-22-54  8  16084.2  14511.2  205.881  2699.48
6  176  2025-06-14 14-22-54  9.6  16093.9  14510.8  208.509  2704.79
7  176  2025-06-14 14-22-54  11.2  16103.8  14510.4  211.09  2710.05
8  176  2025-06-14 14-22-54  12.8  16113.9  14509.9  213.624  2715.24
9  176  2025-06-14 14-22-54  14.4  16124.3  14509.4  216.113  2720.38
10  176  2025-06-14 14-22-54  128  16134.9  14508.8  218.557  2725.46
11  176  2025-06-14 14-22-54  129.6  16145.8  14508.1  220.957  2730.48
12  176  2025-06-14 14-22-54  131.2  16156.9  14507.3  223.314  2735.44
13  176  2025-06-14 14-22-54  132.8  16168.2  14506.5  225.629  2740.34
14  176  2025-06-14 14-22-54  134.4  16179.8  14505.5  227.902  2745.19
15  176  2025-06-14 14-22-54  136  16191.6  14504.5  230.134  2749.97
16  176  2025-06-14 14-22-54  137.6  16203.6  14503.5  232.326  2754.7
17  176  2025-06-14 14-22-54  139.2  16215.7  14502.3  234.478  2759.37
18  176  2025-06-14 14-22-54  140.8  16228.1  14501  236.592  2763.98
19  176  2025-06-14 14-22-54  142.4  16240.7  14499.7  238.668  2768.53
20  176  2025-06-14 14-22-54  144  16253.5  14498.3  240.706  2773.03
21  176  2025-06-14 14-22-54  145.6  16266.5  14496.8  242.708  2777.47
22  176  2025-06-14 14-22-54  147.2  16279.7  14495.2  244.674  2781.85
23  176  2025-06-14 14-22-54  148.8  16293  14493.5  246.604  2786.18
24  176  2025-06-14 14-22-54  150.4  16306.6  14491.8  248.5  2790.44
25  176  2025-06-14 14-22-54  152  16320.3  14489.9  250.361  2794.66
26  176  2025-06-14 14-22-54  153.6  16334.2  14488  252.189  2798.81
27  176  2025-06-14 14-22-54  155.2  16348.2  14486  253.984  2802.91
28  176  2025-06-14 14-22-54  156.8  16362.5  14483.9  255.747  2806.96
29  176  2025-06-14 14-22-54  158.4  16376.8  14481.7  257.479  2810.95
30  176  2025-06-14 14-22-54  160  16391.4  14479.4  259.179  2814.88
31  176  2025-06-14 14-22-54  161.6  16406.1  14477  260.848  2818.76
32  176  2025-06-14 14-22-54  163.2  16420.9  14474.6  262.488  2822.58
33  176  2025-06-14 14-22-54  164.8  16435.9  14472  264.098  2826.35
34  176  2025-06-14 14-22-54  166.4  16451  14469.4  265.679  2830.06
35  176  2025-06-14 14-22-54  168  16466.3  14466.6  267.231  14033.7
36  176  2025-06-14 14-22-54  169.6  16481.8  14463.8  268.756  14037.3
37  176  2025-06-14 14-22-54  171.2  16497.3  14460.9  270.253  14040.9
38  176  2025-06-14 14-22-54  172.8  16513  14457.9  271.724  14044.4
39  176  2025-06-14 14-22-54  174.4  16528.8  14454.9  1393.17  14047.8
40  176  2025-06-14 14-22-54  176  16544.8  14451.7  1394.59  14051.2
41  176  2025-06-14 14-22-54  177.6  16560.8  14448.5  1395.98  14054.6
42  176  2025-06-14 14-22-54  179.2  16577  14445.1  1397.35  14057.9
43  176  2025-06-14 14-22-54  180.8  16593.4  14441.7  1398.69  14061.1
44  176  2025-06-14 14-22-54  182.4  16609.8  14438.2  1400.01  14064.3
45  176  2025-06-14 14-22-54  184  16626.3  14434.7  1401.3  14067.4
